ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,9/22/2022 12:00:00 AM,$0.50,$0.52,$0.50,$0.51,557
Republican,9/23/2022 12:00:00 AM,$0.52,$0.52,$0.50,$0.52,3836
Democratic,9/23/2022 12:00:00 AM,$0.51,$0.52,$0.50,$0.50,2440
Republican,9/24/2022 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,1782
Democratic,9/24/2022 12:00:00 AM,$0.50,$0.52,$0.50,$0.51,1242
Republican,9/25/2022 12:00:00 AM,$0.52,$0.53,$0.51,$0.53,856
Democratic,9/25/2022 12:00:00 AM,$0.51,$0.52,$0.50,$0.50,1658
Republican,9/26/2022 12:00:00 AM,$0.53,$0.53,$0.51,$0.52,2099
Democratic,9/26/2022 12:00:00 AM,$0.50,$0.52,$0.50,$0.50,1815
Republican,9/27/2022 12:00:00 AM,$0.52,$0.52,$0.50,$0.51,3061
Democratic,9/27/2022 12:00:00 AM,$0.50,$0.53,$0.50,$0.51,6338
Republican,9/28/2022 12:00:00 AM,$0.51,$0.52,$0.49,$0.50,4482
Democratic,9/28/2022 12:00:00 AM,$0.51,$0.54,$0.51,$0.53,2938
Republican,9/29/2022 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,1661
Democratic,9/29/2022 12:00:00 AM,$0.53,$0.54,$0.52,$0.54,2107
Republican,9/30/2022 12:00:00 AM,$0.50,$0.52,$0.49,$0.51,4151
Democratic,9/30/2022 12:00:00 AM,$0.54,$0.54,$0.52,$0.52,1400
Republican,10/1/2022 12:00:00 AM,$0.51,$0.52,$0.50,$0.51,2477
Democratic,10/1/2022 12:00:00 AM,$0.52,$0.54,$0.52,$0.52,2229
Republican,10/2/2022 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,845
Democratic,10/2/2022 12:00:00 AM,$0.52,$0.54,$0.51,$0.52,3682
Republican,10/3/2022 12:00:00 AM,$0.52,$0.52,$0.38,$0.42,40805
Democratic,10/3/2022 12:00:00 AM,$0.52,$0.62,$0.51,$0.59,24436
Republican,10/4/2022 12:00:00 AM,$0.42,$0.44,$0.38,$0.41,26240
Democratic,10/4/2022 12:00:00 AM,$0.59,$0.65,$0.57,$0.60,29451
Republican,10/5/2022 12:00:00 AM,$0.41,$0.42,$0.37,$0.39,19099
Democratic,10/5/2022 12:00:00 AM,$0.60,$0.65,$0.59,$0.64,11887
Republican,10/6/2022 12:00:00 AM,$0.39,$0.40,$0.37,$0.40,16523
Democratic,10/6/2022 12:00:00 AM,$0.64,$0.64,$0.62,$0.62,9101
Republican,10/7/2022 12:00:00 AM,$0.40,$0.40,$0.34,$0.37,19865
Democratic,10/7/2022 12:00:00 AM,$0.62,$0.68,$0.62,$0.67,17670
Republican,10/8/2022 12:00:00 AM,$0.37,$0.38,$0.33,$0.36,12746
Democratic,10/8/2022 12:00:00 AM,$0.67,$0.68,$0.63,$0.66,11816
Republican,10/9/2022 12:00:00 AM,$0.36,$0.36,$0.35,$0.36,5865
Democratic,10/9/2022 12:00:00 AM,$0.66,$0.68,$0.66,$0.68,5541
Republican,10/10/2022 12:00:00 AM,$0.36,$0.36,$0.35,$0.36,9292
Democratic,10/10/2022 12:00:00 AM,$0.68,$0.69,$0.65,$0.67,8731
